id,numero,voie,complement,ville,code_postal
1,1,Sunfield,Avenue,Lipnica Wielka,34-483
2,94,Lien,Alley,Nezvěstice,332 04
3,216,Oak,Crossing,Koímisi,75000
4,5579,Gale,Terrace,Issoudun,36104 CEDEX
5,23667,Forest,Hill,Rimus,2519
6,290,Tomscot,Avenue,Areni,75000
7,341,Bunting,Drive,Serang,75000
8,41355,Kensington,Pass,Metsemotlhaba,75000
9,9745,Pierstorff,Trail,Banjar Danginsema,75000
10,0,Redwing,Terrace,Tanarara,75000
11,2743,Nancy,Court,Höganäs,263 36
12,97,Columbus,Street,Ramat HaSharon,75000
13,5628,Gulseth,Road,Sinamaica,75000
14,34029,Springs,Terrace,Higashine,999-3776
15,5877,Gateway,Park,Jawand,75000
16,422,Jenna,Point,Olszanica,38-722
17,9,Vera,Drive,Hoeyang,75000
18,27,Esker,Lane,Trakai,21001
19,42717,Blaine,Alley,Obala,75000
20,7780,East,Park,Mino,709-4306
21,1,Rowland,Trail,Suban,75000
22,99,Derek,Alley,Liangjing,75000
23,3826,Goodland,Drive,Burao,75000
24,5,American,Way,Xiaping,75000
25,1007,Summit,Place,Kuasha,75000
26,94,Roxbury,Lane,Nongoma,3950
27,1592,Farragut,Center,Munkfors,684 91
28,097,Oakridge,Hill,Eastern Suburbs Mc,1391
29,9,Shelley,Place,Valinhos,13270-000
30,86,Reinke,Street,Tanxi,75000
31,504,Colorado,Junction,Banjarsari,75000
32,1092,Holy Cross,Court,Chipata,75000
33,0948,Elgar,Pass,Uryupinsk,403140
34,66,Brentwood,Terrace,Bukal,8420
35,3,Delaware,Point,Voi,75000
36,0,Sloan,Drive,Krasica,52460
37,435,Westerfield,Road,Ćićevac,75000
38,60,Gerald,Plaza,Selnica,49246
39,510,Butterfield,Alley,Fare,75000
40,5,Charing Cross,Plaza,Qiling,75000
41,376,Marcy,Trail,San Benito Abad,703018
42,80,Eagle Crest,Plaza,Kupu,75000
43,636,Boyd,Terrace,Bordeaux,33036 CEDEX
44,8,Northview,Hill,Kangar,01630
45,63,Dottie,Road,Yongqin,75000
46,61,Burrows,Parkway,Tosno,187003
47,4,Onsgard,Court,Vidual,3220-350
48,864,Fulton,Center,Longxi,75000
49,50,4th,Court,Nalsian Norte,2424
50,146,Northland,Terrace,Zhoukou,75000
51,9762,Weeping Birch,Junction,Sikka,75000
52,31659,Evergreen,Parkway,Sa Bot,15240
